SIZE_HA,IGN_DATE,LATITUDE,LONGITUDE,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure
0,20121007.13,49.7828,-124.1906,46.4,64.1,54.7,45.9,73.11,,4.5,,263.96,47.9,0,,0,1014.8
0,20170722.17,51.0203,-122.4705,49.5,75.1,64.3,47.4,55.87,,12.8,21.9,175.71,48.8,0,127.3,14.6,1017.9
0,20170802.15,50.0048,-121.7266,57.9,96.1,76,42.4,35.09,91.5,7.4,,131.54,,0,129.1,1.8,1018.5
0,20070607.13,48.642,-123.5575,46.5,60,53.5,45.6,75.61,,12.7,25.3,,45.5,0,9.9,17.9,1020.1
0,20140706.15,49.5734,-121.8167,59.8,70.1,64.6,60.2,86.17,,6.7,18.3,198.21,,0.08,113.9,34.5,1021.5
0,20120903.13,49.0841,-121.743,48.8,72.7,60.1,51.9,76.85,,6,,203.67,,0,9.4,2.7,1021.4
0,20170504.18,56.9222,-122.0471,,,,,,,,,,,0,,,
0,20130724.22,49.4452,-125.0963,53.7,83.8,68.5,52,60.26,81.6,9.7,27.5,163.88,,0,101,4.2,1017.2
0,20110727.17,49.195,-124.136,56,68.9,62.3,54.8,77.18,,16.7,27.7,198.46,,0,,0,1020.2
0,20090720.15,49.4571,-121.8559,60.3,86.3,73.1,57.1,60.29,85.5,10.1,19.7,149.54,,0.04,8.7,0.6,1015.8
0,20100729.19,54.9148,-128.9665,51.8,75.2,63.3,52.8,70.68,,11.4,19.7,183.33,,0,17.9,38.8,1020.1
0,20090705.2,50.05,-125.33,49.3,75.1,65.7,53.6,66.19,,10.3,28.9,195.5,45.7,0.08,23.7,88,1009.6
0,20110824.13,49.3147,-124.345,57.2,72.1,63.2,56,78.02,,14.3,,300.42,,0,,0,1014.3
0,20130804.16,53.9702,-131.8719,53.2,62.8,59.2,56,89.57,,10.7,,175.79,,0,103.9,33.6,1018.7
0,20090725.13,49.1935,-124.1316,66.3,82.6,70.1,61.3,74.71,82.4,20.3,27.7,218.46,,0.1,,0,1017.1
0,20110724.13,49.9049,-124.5194,59.2,76,67.8,57.1,69.42,,15.1,,289.08,,0,,0,1014.2
0,20110822.14,49.6321,-121.9686,60.4,65.9,63,60.4,91.15,,5.4,28.3,225.42,,1.57,7,35.1,1013.3
0,20180531.17,49.3792,-121.3351,51.8,62.7,58.2,41.1,53.12,,13.2,23,266.79,,0.01,117.6,32,1013.5
0,20140713.2,49.5209,-121.7677,69.6,91.3,79.8,63.4,58.91,93.2,8.3,28.6,191.42,,0,216.4,1.6,1017
0,20100910.12,49.7152,-123.0566,48.7,61,55.9,48.6,77.43,,9.7,19.7,106.04,,0,,0,1018.1
0,20100905.14,49.5745,-121.8187,51,62.6,57,49.7,77.37,,9.2,27.8,185.5,,0.16,8.7,48.7,1019.2
0,20100627.14,49.0998,-121.6656,56.6,62.9,58.6,55.3,89.53,,5.5,19.7,176.38,,1.15,8,28,1015.9
0,20110726.02,49.5755,-121.1813,54.4,64.3,59.8,51.2,73.62,,9.6,25.3,284.29,,0.04,8.7,56.9,1017.1
0,20100620.19,49.9854,-121.7619,57,73,64.2,49.9,60.49,,31.6,48.4,204.88,,0.04,11.5,18,1015.8
0,20100717.23,50.0637,-124.9903,55.6,72.5,62.5,49.5,63.35,,14.4,20.5,281.92,,0,19.7,13.8,1019.5
0,20140810.15,49.0409,-118.2053,58.7,93.1,73.7,46.7,41.89,89.1,6.4,,270,,0,117.3,13.3,1018.8
0,20120916.16,49.5186,-121.7675,51.8,81.7,61.8,45.4,57.33,80.2,12.6,24.2,285.71,,0,8.7,25.4,1015.3
0,20100715.16,49.0641,-122.292,54,75.3,63.8,52.7,68.6,,7.3,17.2,173.13,,0.01,9.9,7,1018.8
0,20110523.15,49.3577,-124.5513,44.8,59.7,52.1,46.9,83.36,,5.5,,205.83,48.7,0.19,,0,1016.9
0,20090701.21,48.6626,-123.702,54.6,67.1,60.6,47,61.54,,9.4,25.3,241.83,,0,8.8,0,1018.4
0,20100908.02,48.839,-123.8249,51,61.2,56.3,53.1,89.31,,11.4,,189.04,,0.32,,0,1008.6
0,20080910.13,50.5,-127.3667,50.1,56.8,53.5,49.8,87.45,,12,27.6,223.38,,0,15.1,50.9,1021.4
0,20130630.15,49.1249,-121.584,64.4,91,77.7,62.8,61.9,94,12.2,20.8,205.46,,0,187.2,0.1,1013.1
0,20090724.22,49.1074,-121.6388,62.2,78.9,70.1,61.3,75.29,,8.6,28.9,184.63,,0.12,8.8,5.1,1016.4
0,20010707.13,50.5667,-120.1667,57,84.9,69.7,48.8,49.53,82.7,14.2,,189.39,,0.02,29.3,37.1,1014.6
0,20180514.11,52.8584,-122.983,40.8,82.1,63,41.7,50.39,80.1,6.5,,231.54,,0,58.3,7.2,1012
0,20121008.19,50.0647,-123.1129,42.2,71.2,53.5,39.3,63.46,,4.8,,97.17,,0,,0,1015.1
0,20130725.22,49.6414,-125.0854,57.8,77.9,67.7,51.7,57.48,,13.7,28.6,276.67,,0,49.7,16.2,1019.2
0,20100705.18,50.0038,-123.1106,44.1,69,56.6,43.8,65.82,,6.5,,133.33,,0,,0,1022.3
0,20160806.13,49.072,-121.8428,51,71.7,61.6,50.5,69.25,,9.3,18.3,200.29,,0,182.3,7.2,1013.1
0,20120715.14,49.5726,-121.8148,58.9,64.9,62,59.3,91.13,,5.6,42,200.63,,1.01,7.8,32.1,1011.8
0,20110724.15,50.05,-126.1,53.7,80.6,69.3,52.6,59.32,79.7,27.5,38,111.39,,0,29.8,51.2,1015.7
0,20100703.18,49.1363,-121.1682,54.6,64.1,59,49.9,72.35,,10.6,24.2,251.5,,0.02,8.7,46.8,1019.5
0,20110828.13,49.9223,-124.6613,59.1,77.2,66.8,54.2,65.13,,9.7,21.8,288.63,,0,19.7,21.2,1013.6
0,20130915.17,54.3385,-126.4012,39.4,82,62.1,49.8,71.1,80.3,7.6,21.9,174.21,,0.15,115.9,7,1004.1
0,20000604.13,57.4167,-122.75,50.1,71.7,60.9,22.2,26.36,,2.2,,230,,0,24.9,100,
0,20130803.21,49.4335,-121.8417,60.9,75.5,66.8,59.8,79.5,,7.1,21.9,206.58,,0,158.1,12.2,1018.6
0,20100803.2,49.9524,-124.6845,58.8,78.2,67.9,56.4,67.65,,10.2,27.7,224.96,,0,19.1,38.4,1017.7
0,20000729.18,58.67,-124.55,46.5,59.1,55.5,40.5,59.31,,5.8,,138.33,45.5,0,12.6,81,1009.5
0,20160703.17,49.5945,-121.8267,56.6,70.1,63.4,49.1,60.79,,12.4,33.3,232.08,,0.14,195.5,1.3,1017.7
0,20150706.13,50.1353,-122.9527,52.8,78.9,66.1,46,53.63,,3.5,,122.58,,0,630.7,0,1015.6
0,20140519.18,49.6649,-121.8593,53.5,65.5,59.1,50.6,74.37,,8.3,32.2,169.88,,0.07,169.4,0.8,1016.5
