FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
V70087,,1985,Person,1985-V70087,59.800000000000004,mylars,,20070517130643,19850923,digitised,JA70003000,,1704275,598097.2835,3320.2648000000004,,
V70088,,1985,Person,1985-V70088,41.4,Buffered_Point,,20070517130645,19850924,buffered_point,JA70003000,,1704276,413996.593,2356.5061,,
V70093,,1985,Person,1985-V70093,22,mylars,,20070517130643,19850926,digitised,JA70003000,,1704277,220359.061,2036.8344000000002,,
V70096,,1985,Person,1985-V70096,13.5,mylars,,20070517130643,19850926,digitised,JA70003000,,1704278,135285.3223,1457.2874000000002,,
V70100,,1985,Person,1985-V70100,86.8,mylars,,20070517130643,19850926,digitised,JA70003000,,1704279,868246.0758,4647.4467,,
V70106,,1985,Person,1985-V70106,112.9,mylars,,20070517130643,19851007,digitised,JA70003000,,1704280,1129832.7199,5018.8023,,
V80051,,1985,Person,1985-V80051,168.5,mylars,,20070517130643,19850924,digitised,JA70003000,,1704281,1685068.2794,6674.1579,,
V80054,,1985,Person,1985-V80054,128.7,mylars,,20070517130643,19850927,digitised,JA70003000,,1704282,1287546.5161,5067.237,,
V90014,,1985,Person,1985-V90014,27.8,mylars,,20070517130643,19850805,digitised,JA70003000,,1704283,278721.2836,2162.7948,,
V90022,,1985,Person,1985-V90022,42.7,mylars,,20070517130643,19850923,digitised,JA70003000,,1704284,427891.5498,2730.6677,,
V90025,,1985,Person,1985-V90025,37.7,mylars,,20070517130643,19850924,digitised,JA70003000,,1704285,377648.0765,2660.0407,,
