,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
V61282,20100913.1504,Person,Nuisance Fire,48.5595,-123.5724,0.0
V30396,20120818.1644,Person,Nuisance Fire,49.7319,-122.3276,0.0
V60257,20090607.1056,Person,Nuisance Fire,48.8072,-123.9586,0.0
C31160,20170707.1438,Lightning,Fire,52.797,-121.0615,0.0
V11179,20100902.201,Person,Nuisance Fire,49.3279,-121.2896,0.0
V30116,20110602.15,Person,Nuisance Fire,50.1525,-122.9259,0.0
V50151,20070707.1131,Person,Nuisance Fire,49.706,-123.9747,0.0
V10137,20090518.1543,Person,Nuisance Fire,49.5959,-121.9295,0.0
V70160,20090521.0838,Person,Nuisance Fire,49.2028,-124.0778,0.0
V10809,20100803.1332,Lightning,Nuisance Fire,49.2502,-122.4468,0.0
V70658,20090705.1744,Person,Nuisance Fire,49.2913,-124.382,0.0
V70495,20100719.2133,Person,Nuisance Fire,49.2377,-124.054,0.0
V10489,20110801.1419,Person,Nuisance Fire,49.43980000000001,-121.7787,0.0
V10067,20120521.153,Person,Nuisance Fire,49.6331,-121.9713,0.0
V80949,20121024.1258,Person,Nuisance Fire,50.24330000000001,-126.4797,0.0
V12031,20170903.0644,Person,Nuisance Fire,49.4512,-121.2538,0.0
V10391,20100711.184,Person,Nuisance Fire,49.43250000000001,-121.841,0.0
V30166,20090522.2332,Person,Nuisance Fire,50.1304,-122.9316,0.0
