FIRE_NO,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
K20436,20030806.1543,Lightning,Fire,51.3723,-119.776,3980.9
R50114,20150616.172,Lightning,Fire,56.15810000000001,-129.0366,8.2
G90456,20030531.16,Person,Fire,59.72210000000001,-124.1657,20.0
R50234,20100802.1507,Lightning,Fire,55.1862,-129.04680000000002,5.5
G90259,20000805.1346,Lightning,Fire,58.4083,-122.11,10.0
V70561,20021009.2,Person,Fire,49.0333,-123.8875,2.0
C40261,20030731.163,Lightning,Fire,51.6757,-120.8088,10.0
N40136,20060704.1822,Lightning,Fire,51.43850000000001,-117.3775,5.7
V92756,20180810.19,Lightning,Fire,50.034,-126.4904,170.0
N10007,20030419.12,Person,Fire,49.5667,-115.6667,100.0
K50603,20110905.1907,Unknown,Fire,49.92910000000001,-119.516,38.8
N10676,20130904.123,Person,Fire,49.20050000000001,-115.1581,12.6
G80421,20140810.14,Person,Fire,56.3537,-121.2292,10.9
C10302,20100801.1623,Lightning,Duplicate,53.3353,-124.0298,9.0
K60031,20110423.12,Person,Fire,50.2075,-121.0872,20.0
K20050,20130508.053,Person,Fire,50.8147,-120.9453,75.0
V50677,20190619.135539,Lightning,Fire,49.4939,-123.4979,3.0
K70148,20160630.073,Person,Fire,50.2091,-121.5776,4.0
K20268,20130727.0001,Person,Fire,50.7531,-120.6175,63.5
K10197,20140603.1535,Lightning,Fire,52.375,-119.1333,22.5
G80004,20130423.1205,Person,Fire,56.19920000000001,-121.49799999999999,2.2
G90301,20001009.12,Person,Fire,57.8333,-124.0,30.0
K20009,20040403.12,Person,Fire,50.8643,-119.9718,3.7
K20250,20010808.171,Person,Fire,50.6222,-121.3258,3.0
K20581,20150804.1914,Lightning,Fire,51.33020000000001,-120.0798,2.4
C51533,20170803.153,Lightning,Fire,51.6079,-123.67,26.0
N40747,20030810.203,Lightning,Fire,52.0687,-117.6174,179.1
C10184,20040624.1525,Lightning,Fire,52.5063,-122.9207,2.5
G80242,20100709.1532,Lightning,Fire,56.5418,-122.0422,8.0
G50025,20030428.1618,Person,Duplicate,54.6524,-124.6638,30.0
C50011,20130420.1401,Person,Fire,51.99760000000001,-123.1524,2.8000000000000003
R40019,20010421.17,Person,Fire,55.2435,-127.6686,3.0
R40046,20170423.18,Person,Fire,55.2346,-128.04770000000002,8.1
V30666,20180620.19,Lightning,Fire,50.0795,-122.5035,2.0
K20005,20040402.09,Person,Fire,50.9437,-120.9788,32.7
G80007,20120419.163,Person,Fire,56.21590000000001,-121.4484,3.4
N40396,20030806.14,Lightning,Fire,51.56780000000001,-118.6764,680.0
G70024,20130504.14,Person,Fire,55.7849,-121.0017,52.0
C31822,20170813.2008,Lightning,Fire,52.79020000000001,-121.1755,6.0
K50217,20140709.143,Person,Fire,49.0689,-119.5597,15.0
G61601,20180730.103536,Unknown,Fire,56.6158,-124.282,247.0
K40695,20030807.153,Lightning,Fire,50.5545,-118.2567,154.0
K10409,20040725.123,Lightning,Fire,52.5228,-119.5847,360.0
K60606,20110906.12,Person,Fire,50.29380000000001,-121.1768,2.9
K50239,20000722.0532,Lightning,Fire,49.1642,-120.2525,311.0
N70493,20030806.2207,Lightning,Fire,50.7417,-117.0497,2009.0
G40152,20000627.18,Lightning,Fire,53.803999999999995,-124.6346,2.0
G90095,20110805.1827,Lightning,Fire,59.50530000000001,-120.3792,167.0
K70033,20150503.22,Person,Fire,50.5337,-122.1563,130.0
G90166,20120706.123,Lightning,Fire,58.8849,-121.2373,7.5
C10575,20090821.0043,Lightning,Fire,52.9833,-125.322,2.7
K30310,20020817.18,Person,Fire,50.6401,-119.1678,5.0
C50137,20040620.1515,Lightning,Fire,52.5013,-125.1585,5.0
N50320,20140802.1715,Lightning,Fire,49.51450000000001,-117.5662,73.0
G90211,20150529.16,Person,Fire,58.9878,-124.9953,223.7
G10124,20100518.1536,Lightning,Fire,54.0622,-122.0464,2.2
K30609,20030810.1903,Lightning,Fire,50.9412,-118.5853,89.0
K51242,20180717.1856,Lightning,Fire,49.7537,-119.6889,1370.3
G50657,20180620.1738,Lightning,Fire,54.981,-125.2516,3.0
G80171,20030614.0409,Lightning,Fire,57.57530000000001,-120.6442,7.8
N10482,20150721.11,Person,Fire,49.0664,-115.5768,110.0
N50435,20170626.145,Lightning,Fire,49.8891,-117.8282,27.8
K20007,20100405.1,Person,Fire,50.8351,-121.3635,4.6000000000000005
G80126,20010622.1406,Lightning,Nuisance Fire,56.8087,-120.774,32.0
N20534,20100826.12,Person,Fire,50.95,-116.53,680.0
N40371,20060724.162,Lightning,Fire,52.0777,-118.1767,10.0
G50191,20190508.120032,Person,Fire,55.4847,-125.9637,2.5
K51550,20170804.1535,Person,Fire,49.7539,-119.8128,2.5
N70542,20150620.2021,Lightning,Fire,50.4178,-116.9491,13.0
N52867,20180811.1202,Lightning,Fire,50.1488,-118.1704,15.0
C50347,20060805.113,Person,Fire,51.4493,-123.9853,3.1
K50519,20110831.1352,Person,Fire,49.0813,-119.5156,7.7
G80286,20100717.2119,Lightning,Fire,56.3196,-122.0384,5.7
K10541,20040817.1802,Lightning,Fire,52.2139,-119.2353,5.0
G31313,20180718.0224,Lightning,Fire,52.739,-119.5326,334.0
R50028,20160512.16,Person,Fire,54.40940000000001,-128.8272,8.0
G80104,20000415.12,Person,Fire,56.2197,-121.9461,7.0
G60252,20090712.1323,Lightning,Fire,57.7807,-125.3209,8.0
C50096,20100708.153,Lightning,Fire,53.0078,-126.2178,4274.0
G70191,20060519.1,Person,Fire,56.04660000000001,-120.6362,2.6
G80004,20060406.18,Person,Fire,56.2922,-121.1037,3.0
V80518,20161012.09,Person,Fire,50.3739,-126.4086,27.0
C50029,20040422.19,Person,Fire,52.4725,-125.3388,8.0
N60001,20120407.12,Person,Fire,49.18850000000001,-118.9803,3.7
V31127,20090730.1111,Lightning,Fire,50.1152,-122.9108,57.0
C10307,20100801.1406,Lightning,Fire,53.1974,-124.0978,6.0
G80035,20060407.12,Person,Fire,56.6265,-121.9382,27.4
G70110,20150524.1345,Lightning,Fire,55.2882,-121.7375,6.5
N70653,20150814.2007,Lightning,Fire,50.3543,-116.8588,78.4
G10025,20040412.18,Person,Fire,53.953,-122.6822,2.1
N10277,20140730.0112,Lightning,Fire,49.70070000000001,-115.4505,676.0
G90167,20120706.1233,Lightning,Fire,58.8674,-121.2048,11.0
G90404,20120808.1627,Lightning,Fire,59.3815,-128.205,219.0
K50120,20000721.143,Person,Fire,49.2237,-119.5378,3.0
K50673,20150817.17,Person,Fire,49.12410000000001,-119.5598,2.0
G41313,20190808.1058,Person,Fire,54.3248,-124.9638,2.0
K60152,20190501.12,Unknown,Fire,50.1317,-120.8596,17.1
G62615,20180813.110803,Unknown,Fire,57.3504,-125.3486,121.0
N12018,20170901.04,Lightning,Fire,49.0942,-114.70299999999999,98.0
N72671,20180812.0519,Lightning,Fire,50.7637,-117.2014,172.0
K60004,20050408.09,Person,Fire,50.1982,-120.8532,28.9
G80883,20180621.1542,Lightning,Fire,57.9106,-120.9547,318.0
V82784,20180810.19,Lightning,Fire,50.1586,-127.1465,104.0
